Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P
호텔신라,Consumer Cyclical,SKIP,SKIP,47950.0,18151.0,-0.28,0.72,,10,0.66,50.9,3.65,61.2,,16.3,진입 타이밍 불명확,-,Stop 44450.00,RSI 51,,대기,,,,,,24179306537,008770.KS,9
팬오션,Industrials,SKIP,SKIP,5280.0,28225.0,-0.28,0.72,,10,0.98,57.1,4.88,45.1,,6.0,진입 타이밍 불명확,-,Stop 4765.00,RSI 57,,대기,,,,,,19679646882,028670.KS,9
CJ제일제당,Consumer Defensive,SKIP,SKIP,214000.0,34290.0,-0.32,0.68,,10,0.77,42.0,2.37,26.6,,21.3,진입 타이밍 불명확,-,Stop 203857.14,RSI 42,,대기,,,,,,19097194475,097950.KS,9
F&F,Consumer Defensive,SKIP,SKIP,70700.0,26892.0,-0.28,0.72,,10,0.99,46.1,4.27,32.3,,15.3,진입 타이밍 불명확,-,Stop 64657.14,RSI 46,,대기,,,,,,10317107390,383220.KQ,9
HD현대,Energy,SKIP,SKIP,292500.0,206705.0,-0.33,0.67,,8,1.3,83.3,4.58,39.8,,3.1,진입 타이밍 불명확,-,Stop 265714.29,Vol 1.3x (약),,대기,,,,,,57565141725,267250.KS,9
삼성전기,Technology,SKIP,SKIP,448500.0,338829.0,-0.39,0.61,,3,1.19,78.8,5.71,46.0,,5.4,진입 타이밍 불명확,-,Stop 397321.43,MACD 완만개선,,대기,,,,,,322515170950,009150.KS,9
LG전자,Technology,SKIP,SKIP,145700.0,262356.0,-0.43,0.57,,3,1.02,78.3,5.61,46.4,,4.1,진입 타이밍 불명확,-,Stop 129357.14,MACD 완만개선,,대기,,,,,,317857015305,066570.KS,9
POSCO홀딩스,Basic Materials,SKIP,SKIP,413000.0,312314.0,-0.36,0.64,,3,1.17,77.0,3.9,45.7,,3.4,진입 타이밍 불명확,-,Stop 380785.71,MACD 완만개선,,대기,,,,,,262899908200,005490.KS,9
SK,Industrials,SKIP,SKIP,401000.0,218633.0,-0.37,0.63,,3,1.19,73.2,5.17,39.3,,5.4,진입 타이밍 불명확,-,Stop 359500.00,MACD 완만개선,,대기,,,,,,109069478275,034730.KS,9
대한항공,Industrials,SKIP,SKIP,28100.0,103782.0,-0.37,0.63,,3,1.12,76.7,4.02,39.5,,5.5,진입 타이밍 불명확,-,Stop 25842.86,MACD 완만개선,,대기,,,,,,92459469355,003490.KS,9
금호석유,Basic Materials,SKIP,SKIP,153400.0,39860.0,-0.33,0.67,,3,1.19,72.8,3.36,19.5,,2.4,진입 타이밍 불명확,-,Stop 143100.00,MACD 완만개선,,대기,,,,,,16102839845,011780.KS,9
강원랜드,Consumer Cyclical,SKIP,SKIP,19050.0,38177.0,-0.38,0.62,,0,0.97,74.6,2.17,42.0,,8.0,진입 타이밍 불명확,-,Stop 18224.29,,,대기,,,,,,13145200707,035250.KS,9
카카오게임즈,Communication Services,SKIP,SKIP,14630.0,11998.0,-0.36,0.64,,0,0.66,29.9,3.36,20.9,,38.0,진입 타이밍 불명확,-,Stop 13645.71,,,대기,,,,,,6070129343,293490.KQ,9
